,name,name_rus,texts_number,texts_percent
679,Т. Н. Толстая,Т. Н. Толстая,1,0.0003803727653100038
680,Тарас Прохасько,Тарас Прохасько,2,0.0007607455306200076
681,Тарас Шевченко,Тарас Шевченко,119,0.045264359071890456
682,Татьяна Полякова,Татьяна Полякова,1,0.0003803727653100038
683,Тетяна Малярчук,Татьяна Малярчук,1,0.0003803727653100038
684,Уладзімір Арлоў,Владимир Орлов,1,0.0003803727653100038
685,Уладзімір Калеснік,Владимир Колесник,2,0.0007607455306200076
686,Уладзімір Караткевіч,Владимир Короткевич,8,0.0030429821224800305
687,Уладзімір Някляеў,Владимир Некляев,1,0.0003803727653100038
688,Уладзімір Шыцік,Владимир Шитик,2,0.0007607455306200076
689,Уладімір Караткевіч,Владимир Короткевич,2,0.0007607455306200076
690,Ф. А. Искандер,Ф. А. Искандер,9,0.003423354887790034
691,Ф. М. Достоевский,Ф. М. Достоевский,22,0.008368200836820083
692,Федор Сологуб,Федор Сологуб,4,0.0015214910612400153
693,Феликс Квадригин,Феликс Квадригин,1,0.0003803727653100038
694,Фотопроект «Россия. Территория настоящего»,Фотопроект «Россия. Территория настоящего»,1,0.0003803727653100038
695,Ц. Лерман,Ц. Лерман,1,0.0003803727653100038
696,Цыденжаб Дон,Цыденжаб Дон,1,0.0003803727653100038
697,Цырен Шагжин,Цырен Шагжин,1,0.0003803727653100038
698,Чингиз Айтматов,Чингиз Айтматов,3,0.0011411182959300114
699,Чукотская сказка,Чукотская сказка,2,0.0007607455306200076
700,Ю. Н. Тынянов,Ю. Н. Тынянов,1,0.0003803727653100038
701,Ю. Никитин,Ю. Никитин,8,0.0030429821224800305
702,Юлія Андрэева,Юлия Андреева,1,0.0003803727653100038
703,Юрий Дружников,Юрий Дружников,1,0.0003803727653100038
704,Юрій Іздрик,Юрий Издрык,5,0.001901863826550019
705,Юрій Андрухович,Юрий Андрухович,5,0.001901863826550019
