,name,texts_number,texts_percent
84,Ilaria Sara Riccio,1,0.00038491147036181676
85,Irena Lewandowska,3,0.0011547344110854503
86,Irene Tchernowa,1,0.00038491147036181676
87,Irina Ilovajskaja Alberti,2,0.0007698229407236335
88,Isabel F. Hapgood,1,0.00038491147036181676
89,Isabelle Kolitcheff,1,0.00038491147036181676
90,J. H. Wisdom,1,0.00038491147036181676
91,J. M. Shirazi,1,0.00038491147036181676
92,J. P. Zajączkowski,1,0.00038491147036181676
93,Jacques Michaut-Paterno,2,0.0007698229407236335
94,Jarl Hemmer,1,0.00038491147036181676
95,Jarmila Wagsteinová,2,0.0007698229407236335
96,Jānis Ozols,3,0.0011547344110854503
97,Joe Fineberg,1,0.00038491147036181676
98,Johanna Lindbladh,1,0.00038491147036181676
99,John Richardson,1,0.00038491147036181676
100,Jolanta Pētersone,1,0.00038491147036181676
101,Josef Riwkin,3,0.0011547344110854503
102,Justo E. Vasco,1,0.00038491147036181676
103,Kārlis Egle,1,0.00038491147036181676
104,Korfiz Holm,1,0.00038491147036181676
105,L. Navrozov,72,0.02771362586605081
106,Laima Rūmniece,2,0.0007698229407236335
107,Larissa Volokhonsky,1,0.00038491147036181676
108,Lars Erik Blomqvist,2,0.0007698229407236335
109,Lars Kleberg,4,0.001539645881447267
110,Laura Salmon,2,0.0007698229407236335
111,Lauris Veips,1,0.00038491147036181676
112,Lembe Hiedel,1,0.00038491147036181676
113,Leoš Suchařípa,1,0.00038491147036181676
114,Louis Viardot,1,0.00038491147036181676
115,Louise and Aylmer Maude,7,0.0026943802925327174
116,Luba Jurgenson,1,0.00038491147036181676
117,Luciana Montagnini,1,0.00038491147036181676
118,Lucy Flaxman,1,0.00038491147036181676
119,M. Lesage,1,0.00038491147036181676
120,MW,1,0.00038491147036181676
121,Marco Binni,1,0.00038491147036181676
122,Margaret Wettlin,1,0.00038491147036181676
123,Margherita Crepax,1,0.00038491147036181676
124,Maria Bianca Luporini,2,0.0007698229407236335
125,Maria Campatelli,1,0.00038491147036181676
126,Marie H. de Zielinska,1,0.00038491147036181676
127,Marr Murray,1,0.00038491147036181676
128,Marta Terzoli,1,0.00038491147036181676
129,Matteo Gozzi,1,0.00038491147036181676
130,Michael Glenny,1,0.00038491147036181676
131,Michael Pfeiffer,3,0.0011547344110854503
132,Michael Scammel,2,0.0007698229407236335
133,Michał Kłobukowski,1,0.00038491147036181676
134,Michel-Rostislav Hofmann,2,0.0007698229407236335
135,Milan Korejs,1,0.00038491147036181676
136,Morgan Malié,1,0.00038491147036181676
137,N. H. Dole,1,0.00038491147036181676
138,Naděžda Slabihoudová,1,0.00038491147036181676
139,Nick,1,0.00038491147036181676
140,Ojārs Vācietis,1,0.00038491147036181676
141,Oskars Kalnciems,3,0.0011547344110854503
142,Oto Brikšķis,1,0.00038491147036181676
143,Paolo Biloni,1,0.00038491147036181676
144,Paolo Nori,1,0.00038491147036181676
145,Paolo Zirulia,2,0.0007698229407236335
146,Paulis Kalva,7,0.0026943802925327174
147,Pavel Dominik,1,0.00038491147036181676
148,Peter Constantine,66,0.025404157043879907
149,Peter Pertzov,2,0.0007698229407236335
150,Pia Pera,1,0.00038491147036181676
151,Pierre Baccheretti,1,0.00038491147036181676
